id_producto;id_almacen;nombre_producto;categoria;descripcion;sku;codigo_barras;precio_unitario;cantidad_stock;nivel_reorden;ultima_reposicion;fecha_vencimiento;id_proveedor;peso_kg;dimensiones_cm;es_fragil;requiere_refrigeracion;estado
P001;ALM001;"Televisor LED 55""";Electr�nicos;Televisor LED de 55 pulgadas, 4K, Smart TV;ELE-TV-55;7,89123E+12;1299000;45;10;15/04/2025;;PROV003;18.5;55x33x8;true;false;activo
P002;ALM001;Refrigerador No Frost;Electrodom�sticos;Refrigerador de dos puertas, tecnolog�a No Frost, 420 litros;ELC-REF-420;7,89123E+12;2199000;32;5;10/04/2025;;PROV003;75.0;70x180x70;true;false;activo
P003;ALM001;"Laptop Ultraligera 14""";Computaci�n;Laptop con procesador i7, 16GB RAM, 512GB SSD;COM-LAP-14;7,89123E+12;3499000;60;15;18/04/2025;;PROV005;1.3;34x24x1.8;true;false;activo
P004;ALM001;Smartphone Premium;Telefon�a;Smartphone con c�mara 108MP, 256GB almacenamiento;TEL-SPH-PRE;7,89123E+12;2799000;85;20;20/04/2025;;PROV001;0.2;16x7x0.8;true;false;activo
P005;ALM001;Tableta Gr�fica;Computaci�n;Tableta gr�fica para dise�adores, presi�n 8192 niveles;COM-TAB-GRF;7,89123E+12;899000;40;10;12/04/2025;;PROV005;0.6;38x25x1;true;false;activo
P006;ALM002;Leche Entera 1L;L�cteos;Leche entera pasteurizada, 1 litro;LAC-LCH-1L;7,89123E+12;4500;150;50;01/05/2025;15/05/2025;PROV010;1.03;9.5x6.5x20;false;true;activo
P007;ALM002;Queso Mozzarella 500g;L�cteos;Queso mozzarella fresco, bloque de 500 gramos;LAC-QUE-MZZ;7,89123E+12;12000;80;30;02/05/2025;20/05/2025;PROV010;0.5;15x10x5;false;true;activo
P008;ALM002;Yogurt Natural 1kg;L�cteos;Yogurt natural sin az�car a�adida, 1 kilogramo;LAC-YOG-NAT;7,89123E+12;8500;120;40;01/05/2025;18/05/2025;PROV010;1.0;12x12x20;false;true;activo
P009;ALM002;Mantequilla 250g;L�cteos;Mantequilla sin sal, 250 gramos;LAC-MNT-250;7,89123E+12;7000;100;35;02/05/2025;02/06/2025;PROV010;0.25;12x8x3;false;true;activo
P010;ALM002;Crema de Leche 500ml;L�cteos;Crema de leche para cocinar, 500 mililitros;LAC-CRM-500;7,89123E+12;9500;90;30;01/05/2025;25/05/2025;PROV010;0.51;8x8x15;false;true;activo
P011;ALM003;Arroz Premium 5kg;Granos;Arroz blanco grano largo, premium, 5 kilogramos;GRA-ARZ-5KG;7,89123E+12;29000;200;50;10/04/2025;10/12/2025;PROV008;5.0;25x40x10;false;false;activo
P012;ALM003;Frijol Rojo 1kg;Granos;Frijol rojo tipo cabecita negra, 1 kilogramo;GRA-FRJ-RED;7,89123E+12;8500;150;40;12/04/2025;12/11/2025;PROV008;1.0;15x25x5;false;false;activo
P013;ALM003;Lentejas 1kg;Granos;Lentejas secas, 1 kilogramo;GRA-LNT-1KG;7,89123E+12;7800;180;45;15/04/2025;15/11/2025;PROV008;1.0;15x25x5;false;false;activo
